deltaTime(s);Time(s);Roll(rad);Pitch(rad);Yaw(rad);RollSpeed(rad/s);PitchSpeed(rad/s);YawSpeed(rad/s) 
0.25034714;51.05622578;-0.00503915;0.00410935;-0.01368883;-0.00049295;-0.00050913;0.00115764 
0.25516248;51.31138825;-0.00502743;0.00413157;-0.01367387;0.00024525;-0.00035515;0.00113883 
0.24535847;51.55674672;-0.00499948;0.00414340;-0.01358750;-0.00005314;-0.00048625;0.00174511 
0.25093222;51.80767894;-0.00497154;0.00417313;-0.01352786;0.00081288;-0.00116920;0.00181264 
0.24850535;52.05618429;-0.00492340;0.00415622;-0.01347425;0.00048901;-0.00103518;0.00048679 
0.25358009;52.30976439;-0.00491055;0.00418429;-0.01333314;0.00056522;-0.00094921;0.00090687 
0.24924088;52.55900526;-0.00483477;0.00416645;-0.01325704;0.00059164;-0.00078509;0.00152756 
0.24878311;52.80778837;-0.00478764;0.00418652;-0.01318283;0.00001192;-0.00037707;0.00178605 
0.25012517;53.05791354;-0.00478520;0.00417638;-0.01313904;-0.00007707;-0.00099073;0.00054416 
0.25426793;53.31218147;-0.00476415;0.00417208;-0.01301203;-0.00063825;-0.00058046;-0.00038166 
0.25045347;53.56263494;-0.00468479;0.00413521;-0.01291780;0.00039799;-0.00036194;0.00203115 
0.25015497;53.81278992;-0.00467033;0.00410334;-0.01290958;0.00065350;-0.00094319;0.00133445 
0.24675727;54.05954719;-0.00460167;0.00410918;-0.01290144;-0.00036278;-0.00101524;0.00139951 
0.25362206;54.31316924;-0.00459427;0.00419025;-0.01276332;-0.00096027;-0.00092567;0.00139412 
0.24945831;54.56262755;-0.00458325;0.00425539;-0.01267498;-0.00002038;-0.00106127;0.00146973 
0.25100040;54.81362796;-0.00460583;0.00427332;-0.01261149;-0.00012682;-0.00048663;0.00103075 
0.24542093;55.05904889;-0.00456407;0.00422119;-0.01260401;-0.00027832;-0.00126301;0.00062403 
0.24967813;55.30872703;-0.00454368;0.00424640;-0.01252349;0.00004466;-0.00050692;0.00085859 
0.25524378;55.56397080;-0.00449109;0.00425546;-0.01247420;-0.00000175;-0.00035978;0.00109863 
0.24492264;55.80889344;-0.00456538;0.00425729;-0.01247592;-0.00027904;-0.00037074;0.00262094 
0.25457621;56.06346965;-0.00455691;0.00427421;-0.01242487;0.00007065;0.00113373;0.00289019 
0.24996448;56.31343412;-0.00453242;0.00429328;-0.01226407;0.00023028;0.00042264;0.00327560 
