deltaTime(s)	Time(s)	Roll(rad)	Pitch(rad)	Yaw(rad)	RollSpeed(rad/s)	PitchSpeed(rad/s)	YawSpeed(rad/s)	Motor1(PWM)	Motor2(PWM)	Motor3(PWM)	Motor4(PWM)	
0.24562430 	33.77006340	-0.01249947	0.02541275	1.73663366	0.00111340	-0.00066698	-0.00333465	900	900	900	900
0.24987507 	34.01993847	-0.01250354	0.02546754	1.73654819	0.00051410	-0.00004925	-0.00074044	900	900	900	900
0.34816217 	34.36810064	-0.01252606	0.02547414	1.73661351	-0.00076425	0.00042990	-0.00099361	900	900	900	900
0.38663101 	34.75473166	-0.01255156	0.02556642	1.73668623	0.00042884	0.00001111	-0.00168796	900	900	900	900
0.24585056 	35.00058222	-0.01255317	0.02562508	1.73680365	0.00004239	0.00005208	0.00052666	900	900	900	900
0.05895686 	35.05953908	-0.01255459	0.02568715	1.73689711	0.00005267	-0.00025115	0.00098384	900	900	900	900
0.29407454 	35.35361362	-0.01253748	0.02570979	1.73695862	-0.00095750	0.00053332	-0.00072887	900	900	900	900
0.37853813 	35.73215175	-0.01245607	0.02570459	1.73708856	0.00061106	-0.00007876	0.00071960	900	900	900	900
0.32863975 	36.06079149	-0.01241972	0.02571183	1.73718441	0.00142970	-0.00288105	0.00133417	900	900	900	900
0.30818701 	36.36897850	-0.01242148	0.02571433	1.73725259	0.00061838	-0.00324742	-0.00118053	900	900	900	900
0.37017775 	36.73915625	-0.01248647	0.02574680	1.73725259	0.00039347	-0.00165932	-0.00530965	900	900	900	900
0.43666983 	37.17582607	-0.01247844	0.02576393	1.73743629	0.00062894	-0.00063491	0.00137658	900	900	900	900
0.14286470 	37.31869078	-0.01247589	0.02578574	1.73744524	0.00131898	-0.00251395	0.00189973	900	900	900	900
0.22340393 	37.54209471	-0.01252309	0.02580347	1.73744822	-0.00045031	-0.00149512	-0.00191209	900	900	900	900
0.14880109 	37.69089580	-0.01247878	0.02586547	1.73737466	-0.00013774	-0.00051550	0.00059014	900	900	900	900
0.13845658 	37.82935238	-0.01249950	0.02584793	1.73716629	-0.00149824	0.00031087	0.00001615	900	900	900	900
0.18731022 	38.01666260	-0.01251550	0.02580917	1.73701966	0.00023889	-0.00129500	0.00128158	900	900	900	900
0.04103780 	38.05770040	-0.01254045	0.02580023	1.73680580	-0.00047790	-0.00241253	-0.00111719	900	900	900	900
0.36142421 	38.41912460	-0.01252241	0.02577043	1.73662162	-0.00039812	-0.00183436	-0.00028783	900	900	900	900
0.45305753 	38.87218213	-0.01258001	0.02576729	1.73650265	-0.00018960	0.00036760	0.00078705	900	900	900	900
0.42917037 	39.30135250	-0.01262211	0.02572794	1.73641992	-0.00027168	-0.00005200	0.00050937	900	900	900	900
0.09486485 	39.39621735	-0.01269046	0.02564913	1.73629999	-0.00083426	-0.00074399	-0.00030688	900	900	900	900
0.14462638 	39.54084373	-0.01273201	0.02557538	1.73631084	-0.00323077	-0.00052203	0.00469009	900	900	900	900
0.47973537 	40.02057910	-0.01268154	0.02561306	1.73613930	-0.00100001	-0.00081051	0.00166118	900	900	900	900
0.51435041 	40.53492951	-0.01270028	0.02559954	1.73607194	-0.00132897	0.00240652	-0.00555968	900	900	900	900
0.53385496 	41.06878448	-0.01267135	0.02555493	1.73610246	-0.00130660	0.00131582	0.00261639	900	900	900	900
0.39223456 	41.46101904	-0.01265665	0.02549685	1.73593187	-0.00190599	-0.00227053	0.00231885	900	900	900	900
